CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
0.09178,0.0,,0.0,0.51,6.416,,2.6463,5,296,16.6,395.5,9.04,23.6
0.05644,40.0,6.41,1.0,0.447,6.758,32.9,4.0776,4,254,17.6,396.9,3.53,32.4
0.10574,0.0,27.74,0.0,0.609,5.983,98.8,1.8681,4,711,20.1,390.11,18.07,13.6
0.09164,0.0,10.81,0.0,0.413,6.065,7.8,5.2873,4,305,19.2,390.91,5.52,22.8
5.09017,0.0,18.1,0.0,0.713,6.297,91.8,2.3682,24,666,20.2,385.09,17.27,16.1
0.10153,0.0,12.83,0.0,0.437,6.279,74.5,4.0522,5,398,18.7,373.66,11.97,20.0
0.31827,0.0,9.9,0.0,0.544,5.914,,3.9986,4,304,18.4,390.7,18.33,17.8
0.2909,0.0,21.89,0.0,0.624,6.174,93.6,1.6119,4,437,21.2,388.08,24.16,14.0
4.03841,0.0,18.1,0.0,0.532,6.229,90.7,3.0993,24,666,20.2,395.33,12.87,19.6
0.22438,0.0,9.69,0.0,0.585,6.027,79.7,2.4982,6,391,19.2,396.9,14.33,16.8
0.11069,0.0,13.89,1.0,0.55,5.951,93.8,2.8893,5,276,16.4,396.9,17.92,21.5
0.17004,12.5,7.87,,0.524,6.004,85.9,6.5921,5,311,15.2,386.71,17.1,18.9
45.7461,0.0,18.1,0.0,0.693,4.519,100.0,1.6582,24,666,20.2,88.27,36.98,7.0
0.05646,0.0,12.83,0.0,0.437,6.232,53.7,5.0141,5,398,18.7,386.4,12.34,21.2
0.28392,0.0,7.38,0.0,0.493,5.708,74.3,4.7211,5,287,19.6,391.13,11.74,18.5
4.64689,0.0,18.1,0.0,0.614,6.98,67.6,2.5329,24,666,20.2,374.68,,29.8
0.09849,0.0,25.65,0.0,0.581,5.879,95.8,2.0063,2,188,19.1,379.38,17.58,18.8
14.3337,0.0,18.1,,0.7,4.88,100.0,1.5895,24,666,20.2,372.92,30.62,10.2
0.01381,80.0,0.46,0.0,0.422,7.875,32.0,5.6484,4,255,14.4,394.23,2.97,50.0
9.32909,0.0,18.1,0.0,0.713,6.185,98.7,2.2616,24,666,20.2,396.9,18.13,14.1
0.16211,20.0,6.96,0.0,0.464,6.24,16.3,4.429,3,223,18.6,396.9,,25.2
0.07978,40.0,6.41,0.0,0.447,6.482,32.1,4.1403,4,254,17.6,396.9,7.19,29.1
1.13081,0.0,8.14,0.0,0.538,5.713,94.1,4.233,4,307,21.0,360.17,22.6,12.7
0.06263,0.0,11.93,0.0,0.573,6.593,69.1,2.4786,1,273,21.0,391.99,,22.4
7.02259,0.0,18.1,0.0,0.718,6.006,95.3,1.8746,24,666,20.2,319.98,15.7,14.2
8.05579,0.0,18.1,0.0,0.584,5.427,95.4,2.4298,24,666,20.2,352.58,18.14,13.8
0.08387,0.0,12.83,0.0,0.437,5.874,36.6,4.5026,5,398,18.7,396.06,,20.3
9.51363,0.0,18.1,0.0,0.713,6.728,94.1,2.4961,24,666,20.2,6.68,18.71,14.9
0.17446,,10.59,1.0,0.489,5.96,92.1,3.8771,4,277,18.6,393.25,17.27,21.7
0.26838,0.0,9.69,0.0,0.585,5.794,70.6,2.8927,6,391,19.2,396.9,14.1,18.3
0.13914,0.0,4.05,0.0,0.51,5.572,88.5,2.5961,5,296,16.6,396.9,14.69,23.1
0.1676,0.0,7.38,0.0,0.493,6.426,52.3,4.5404,5,287,19.6,396.9,7.2,23.8
19.6091,,18.1,0.0,0.671,7.313,97.9,1.3163,24,666,20.2,396.9,13.44,15.0
3.67822,0.0,18.1,0.0,0.77,5.362,96.2,2.1036,24,666,20.2,380.79,10.19,20.8
4.42228,0.0,18.1,0.0,0.584,6.003,94.5,2.5403,24,666,20.2,331.29,21.32,19.1
2.14918,0.0,19.58,0.0,0.871,5.709,98.5,1.6232,5,403,14.7,261.95,15.79,19.4
0.02729,0.0,7.07,0.0,0.469,7.185,61.1,4.9671,2,242,17.8,392.83,4.03,34.7
0.03427,0.0,5.19,0.0,0.515,5.869,46.3,5.2311,5,224,20.2,396.9,9.8,19.5
0.13587,0.0,10.59,1.0,0.489,6.064,59.1,4.2392,4,277,18.6,381.32,14.66,24.4
0.19539,0.0,10.81,0.0,0.413,6.245,6.2,5.2873,4,305,19.2,377.17,,23.4
0.2896,0.0,9.69,0.0,0.585,5.39,72.9,2.7986,6,391,19.2,396.9,21.14,19.7
0.04932,33.0,2.18,0.0,0.472,6.849,70.3,3.1827,7,222,18.4,396.9,7.53,28.2
0.02009,95.0,2.68,0.0,0.4161,8.034,31.9,5.118,4,224,14.7,390.55,2.88,50.0
0.13554,12.5,6.07,0.0,0.409,5.594,36.8,6.498,4,345,18.9,396.9,13.09,17.4
0.04684,0.0,3.41,0.0,0.489,6.417,66.1,3.0923,2,270,17.8,392.18,8.81,22.6
6.96215,0.0,18.1,0.0,0.7,5.713,97.0,1.9265,24,666,20.2,394.43,17.11,15.1
1.15172,0.0,8.14,0.0,0.538,5.701,95.0,3.7872,4,307,21.0,358.77,18.35,13.1
0.08826,0.0,10.81,0.0,0.413,6.417,6.6,5.2873,4,305,19.2,383.73,6.72,24.2
4.34879,0.0,18.1,0.0,0.58,6.167,84.0,3.0334,24,666,20.2,396.9,16.29,19.9
0.00632,18.0,2.31,0.0,0.538,6.575,65.2,4.09,1,296,15.3,396.9,4.98,24.0
0.11747,12.5,7.87,0.0,0.524,6.009,82.9,6.2267,5,311,15.2,396.9,13.27,18.9
